Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0133,001,33FP0133,210400,473366,650,,702,-6750,-7000,1989/12/14,1995/10/23
B33F0133,001,33FP0133,210400,473366,650,,714,-6750,-7000,1995/10/23,2011/01/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B33F0133,001,2005/03/30 00:00:00,342,
B33F0133,001,2005/04/13 00:00:00,348,
B33F0133,001,2005/04/28 00:00:00,345,
B33F0133,001,2005/05/14 00:00:00,336,
B33F0133,001,2005/06/14 00:00:00,362,
B33F0133,001,2005/06/30 00:00:00,412,
B33F0133,001,2005/07/13 00:00:00,392,
B33F0133,001,2005/07/28 00:00:00,375,
B33F0133,001,2005/09/15 00:00:00,372,
B33F0133,001,2005/09/27 00:00:00,367,
B33F0133,001,2005/10/13 00:00:00,373,
B33F0133,001,2005/10/28 00:00:00,366,
B33F0133,001,2005/11/15 00:00:00,380,
B33F0133,001,2005/11/29 00:00:00,376,
B33F0133,001,2005/12/10 00:00:00,,D
B33F0133,001,2005/12/11 00:00:00,382,
B33F0133,001,2005/12/12 00:00:00,382,
B33F0133,001,2005/12/13 00:00:00,381,
B33F0133,001,2005/12/14 00:00:00,377,
B33F0133,001,2005/12/15 00:00:00,376,
B33F0133,001,2005/12/16 00:00:00,373,
B33F0133,001,2005/12/17 00:00:00,371,
B33F0133,001,2005/12/18 00:00:00,373,
B33F0133,001,2005/12/19 00:00:00,374,
B33F0133,001,2005/12/20 00:00:00,375,
B33F0133,001,2005/12/21 00:00:00,377,
B33F0133,001,2005/12/22 00:00:00,378,
B33F0133,001,2005/12/23 00:00:00,376,
B33F0133,001,2005/12/24 00:00:00,373,
B33F0133,001,2005/12/25 00:00:00,373,
B33F0133,001,2005/12/26 00:00:00,367,
B33F0133,001,2005/12/27 00:00:00,365,
B33F0133,001,2005/12/28 00:00:00,366,
B33F0133,001,2005/12/29 00:00:00,368,
B33F0133,001,2005/12/30 00:00:00,368,
B33F0133,001,2005/12/31 00:00:00,366,
B33F0133,001,2006/01/01 00:00:00,368,
B33F0133,001,2006/01/02 00:00:00,376,
B33F0133,001,2006/01/03 00:00:00,380,
B33F0133,001,2006/01/04 00:00:00,377,
B33F0133,001,2006/01/05 00:00:00,377,
B33F0133,001,2006/01/06 00:00:00,377,
B33F0133,001,2006/01/07 00:00:00,377,
B33F0133,001,2006/01/08 00:00:00,375,
B33F0133,001,2006/01/09 00:00:00,375,
B33F0133,001,2006/01/10 00:00:00,377,
B33F0133,001,2006/01/11 00:00:00,378,
B33F0133,001,2006/01/12 00:00:00,384,
B33F0133,001,2006/01/13 00:00:00,386,
B33F0133,001,2006/01/14 00:00:00,384,
B33F0133,001,2006/01/15 00:00:00,383,
B33F0133,001,2006/01/16 00:00:00,383,
B33F0133,001,2006/01/17 00:00:00,383,
B33F0133,001,2006/01/18 00:00:00,384,
B33F0133,001,2006/01/19 00:00:00,387,
B33F0133,001,2006/01/20 00:00:00,386,
B33F0133,001,2006/01/21 00:00:00,386,
B33F0133,001,2006/01/22 00:00:00,387,
B33F0133,001,2006/01/23 00:00:00,389,
B33F0133,001,2006/01/24 00:00:00,389,
B33F0133,001,2006/01/25 00:00:00,387,
B33F0133,001,2006/01/26 00:00:00,391,
B33F0133,001,2006/01/27 00:00:00,390,
B33F0133,001,2006/01/28 00:00:00,390,
B33F0133,001,2006/01/29 00:00:00,390,
B33F0133,001,2006/01/30 00:00:00,390,
B33F0133,001,2006/01/31 00:00:00,391,
B33F0133,001,2006/02/01 00:00:00,389,
B33F0133,001,2006/02/02 00:00:00,389,
B33F0133,001,2006/02/03 00:00:00,389,
B33F0133,001,2006/02/04 00:00:00,391,
B33F0133,001,2006/02/05 00:00:00,391,
B33F0133,001,2006/02/06 00:00:00,391,
B33F0133,001,2006/02/07 00:00:00,392,
B33F0133,001,2006/02/08 00:00:00,388,
B33F0133,001,2006/02/09 00:00:00,389,
B33F0133,001,2006/02/10 00:00:00,391,
B33F0133,001,2006/02/11 00:00:00,391,
